Degrees	Distance (cm)
0	75.70
2	126.11
4	118.02
6	118.02
8	95.82
10	112.50
12	115.92
14	95.26
16	111.16
18	122.36
20	115.92
22	126.11
24	126.11
26	118.02
28	72.94
30	85.22
32	70.49
34	81.83
36	82.78
38	77.69
40	99.87
42	73.36
44	73.15
46	95.26
48	81.36
50	115.92
52	100.46
54	72.52
56	118.02
58	54.28
60	82.78
62	86.73
64	93.59
66	125.73
68	55.17
70	66.24
72	65.13
74	54.28
76	77.24
78	77.24
80	57.64
82	77.24
84	83.51
86	87.23
88	96.39
90	60.24
92	107.89
94	126.11
96	49.14
98	26.82
100	27.29
102	27.77
104	17.56
106	11.97
108	12.55
110	128.42
112	106.61
114	122.73
116	125.35
118	13.68
120	126.11
122	105.35
124	99.28
126	106.29
128	111.49
130	106.61
132	126.88
134	72.52
136	125.73
138	46.73
140	31.84
142	88.78
144	125.35
146	127.26
148	126.88
150	126.88
152	106.61
154	120.90
156	73.15
158	84.24
160	127.65
162	125.35
164	126.88
166	128.42
168	14.88
170	14.54
172	15.49
174	15.08
176	15.45
178	15.12
180	15.20
2	102	26.77	1.87
END
